Focus Distance (mm),APERTURE (F/),FOCUS POSITION,PPN_FD (mm),DPN_FD (mm),ISO,Speed(1/)
346,18,31826,343,349,3200,125
352,18,30669,349,355,3200,125
358,18,29225,355,361,3200,125
364,18,28280,360,368,3200,125
373,18,26561,369,378,3200,125
384,18,25030,379,389,3200,125
394,18,23656,390,400,3200,125
406,18,22366,401,411,3200,125
416,18,21246,411,421,3200,100
426,18,20410,420,431,3200,100
436,18,19639,428,440,3200,100
446,16,18764,441,451,3200,100
457,16,17850,452,463,3200,100
467,16,17174,464,473,3200,100
478,16,16619,474,483,3200,100
488,14,16009,484,493,2000,160
498,14,15500,494,503,2000,160
508,14,15001,504,513,2000,160
517,14,14597,514,522,2000,160
525,13,14237,521,529,2000,200
533,13,13966,529,537,2000,200
541,13,13652,537,545,2000,200
549,13,13415,545,553,2000,200
557,13,13034,553,561,2000,200
565,10,12808,561,569,1250,200
573,10,12557,569,577,1250,200
581,10,12278,577,585,1250,200
589,10,12030,585,593,1250,200
597,10,11804,591,601,1250,200
605,9,11587,601,609,1250,200
613,9,11378,609,617,1250,200
621,9,11190,617,625,1250,200
629,9,11009,625,633,1250,200
637,8,10820,633,641,1000,200
645,8,10646,641,649,1000,200
653,8,10450,649,657,1000,200
